id,name,cuisine,mealType,servings,difficulty,totalTimeMinutes,ingredientsCount,stepsCount,calories,protein,carbs,fat,fiber,equipment,dietTags,variantGroup,variantType
"pb-banana-oats","Peanut Butter Banana Oats","American","breakfast","1","easy","5","6","3","380","14","56","12","7","microwave","vegetarian","",""
"apple-cinnamon-oats","Apple Cinnamon Oats","American","breakfast","1","easy","6","6","4","360","9","70","6","8","microwave","vegetarian","",""
"overnight-oats-jar","Overnight Oats Jar","American","breakfast","1","easy","5","6","4","360","14","60","6","8","no-kitchen","vegetarian","",""
"savory-egg-oats","Savory Egg Oats","Asian","breakfast","1","easy","5","6","3","320","16","36","12","4","microwave","vegetarian","",""
"greek-yogurt-granola-bowl","Greek Yogurt Granola Bowl","American","breakfast","1","easy","3","5","3","420","22","64","8","5","no-kitchen","vegetarian;high-protein","",""
"egg-toast","Egg Toast","American","breakfast","1","easy","7","6","4","380","18","28","22","2","stovetop","vegetarian","",""
"cottage-cheese-toast","Cottage Cheese Toast","American","breakfast","1","easy","4","6","3","340","22","38","8","3","no-kitchen","vegetarian;high-protein","",""
"breakfast-burrito","Breakfast Burrito","Mexican","breakfast","1","easy","8","6","4","500","22","44","24","6","stovetop","vegetarian","",""
"potato-egg-hash","Potato Egg Hash","American","breakfast","2","easy","20","6","5","460","16","58","18","6","stovetop;microwave","vegetarian","",""
"microwave-mug-omelet","Microwave Mug Omelet","American","breakfast","1","easy","4","6","3","320","22","6","22","1","microwave","vegetarian;high-protein","",""
"tofu-scramble-toast","Tofu Scramble Toast","American","breakfast","2","easy","12","8","4","380","18","38","14","4","stovetop","vegan;dairy-free;high-protein","",""
"banana-peanut-butter-quesadilla","Banana Peanut Butter Quesadilla","American","snack","1","easy","6","5","4","380","11","50","16","5","stovetop;microwave","vegetarian","",""
"bean-cheese-quesadilla","Bean and Cheese Quesadilla","Mexican","lunch","1","easy","6","5","4","480","18","52","22","8","stovetop;microwave","vegetarian","",""
"black-bean-tacos","Black Bean Tacos","Mexican","dinner","2","easy","12","8","4","480","16","64","16","12","stovetop","vegetarian","",""
"potato-tacos","Potato Tacos","Mexican","dinner","2","easy","18","7","4","480","12","70","16","6","stovetop;microwave","vegetarian","",""
"tuna-melt-tortilla","Tuna Melt Tortilla","American","lunch","1","easy","8","7","3","480","26","38","24","2","stovetop","high-protein","",""
"egg-salad-sandwich","Egg Salad Sandwich","American","lunch","2","easy","15","6","3","420","22","32","22","2","stovetop","vegetarian;high-protein","",""
"chickpea-salad-sandwich","Chickpea Salad Sandwich","American","lunch","2","easy","5","7","3","440","16","60","14","8","no-kitchen","vegetarian","",""
"hummus-veggie-wrap","Hummus Veggie Wrap","Mediterranean","lunch","1","easy","5","7","3","420","14","48","18","8","no-kitchen","vegetarian","",""
"chicken-salad-wrap","Chicken Salad Wrap","American","lunch","2","easy","6","7","4","460","26","32","22","3","no-kitchen","high-protein","",""
"pizza-tortilla","Pizza Tortilla","Italian","dinner","1","easy","10","6","4","420","18","38","22","2","oven;air-fryer;stovetop","","",""
"breakfast-quesadilla","Breakfast Quesadilla","Mexican","breakfast","1","easy","7","6","4","420","20","28","24","2","stovetop","vegetarian","",""
"grilled-cheese-tomato-soup","Grilled Cheese and Tomato Soup","American","lunch","1","easy","10","6","4","540","18","56","24","4","stovetop","vegetarian","",""
"peanut-butter-apple-sandwich","Peanut Butter Apple Sandwich","American","snack","1","easy","3","5","3","380","12","50","16","6","no-kitchen","vegetarian","",""
"basic-lentil-soup","Basic Lentil Soup","Mediterranean","dinner","4","easy","35","8","4","320","14","50","4","12","stovetop","vegan;dairy-free","",""
"black-bean-soup","Black Bean Soup","Mexican","dinner","3","easy","25","8","5","320","16","52","4","14","stovetop","vegan;dairy-free","",""
"white-bean-tomato-soup","White Bean Tomato Soup","Italian","dinner","3","easy","25","8","4","340","14","50","8","10","stovetop","vegan;dairy-free","",""
"chickpea-tomato-stew","Chickpea Tomato Stew","Mediterranean","dinner","3","easy","25","8","4","380","14","56","10","12","stovetop","vegan;dairy-free","",""
"potato-corn-chowder","Potato Corn Chowder","American","dinner","3","easy","30","8","5","380","10","64","10","6","stovetop","vegetarian","",""
"vegetable-curry","Vegetable Curry","Indian","dinner","3","easy","25","7","5","540","12","80","18","9","stovetop","vegan;dairy-free","",""
"cabbage-bean-stew","Cabbage Bean Stew","Italian","dinner","3","easy","25","8","5","300","12","48","6","10","stovetop","vegan;dairy-free","",""
"split-pea-soup","Split Pea Soup","American","dinner","4","easy","50","8","4","280","16","48","3","14","stovetop","vegan;dairy-free","",""
"budget-chicken-noodle-soup","Budget Chicken Noodle Soup","American","dinner","3","easy","25","8","4","360","22","48","6","4","stovetop","high-protein","",""
"miso-tofu-soup","Miso Tofu Soup","Japanese","dinner","2","easy","12","7","5","220","16","14","10","3","stovetop","vegan;dairy-free;high-protein","",""
"shakshuka-style-eggs","Shakshuka-Style Eggs","Mediterranean","breakfast","2","easy","25","8","5","380","18","22","22","5","stovetop","vegetarian;gluten-free","",""
"japanese-curry-rice","Japanese-Style Curry Rice","Japanese","dinner","3","easy","35","8","6","580","24","86","14","6","stovetop","dairy-free;high-protein","",""
"loaded-baked-potato","Loaded Baked Potato","American","dinner","2","easy","12","8","3","420","14","50","18","6","microwave;oven","vegetarian;gluten-free","",""
"tuna-jacket-potato","Tuna Jacket Potato","British","dinner","1","easy","12","7","3","460","26","40","20","5","microwave","high-protein","",""
"broccoli-cheese-potato","Broccoli Cheese Potato","American","dinner","1","easy","12","7","4","420","16","52","16","8","microwave","vegetarian;gluten-free","",""
"potato-lentil-curry","Potato Lentil Curry","Indian","dinner","4","easy","35","8","5","360","14","64","4","12","stovetop","vegan;dairy-free","",""
"air-fryer-potato-wedges-beans","Air Fryer Potato Wedges and Beans","American","dinner","2","easy","25","7","4","420","14","76","8","12","air-fryer;microwave","vegan;dairy-free;gluten-free","",""
"mashed-potato-bowl","Mashed Potato Bowl","American","dinner","2","easy","20","7","4","460","14","72","14","6","stovetop;microwave","vegetarian","",""
"sweet-potato-chickpea-curry","Sweet Potato Chickpea Curry","Indian","dinner","3","easy","30","8","5","540","12","92","14","10","stovetop","vegan;dairy-free","",""
"breakfast-potato-skillet","Breakfast Potato Skillet","American","breakfast","2","easy","20","7","5","460","16","50","22","5","stovetop","vegetarian","",""
"potato-cabbage-skillet","Potato Cabbage Skillet","European","dinner","2","easy","22","8","4","380","10","68","10","8","stovetop","vegan;dairy-free;gluten-free","",""
"microwave-nachos","Microwave Nachos","Mexican","snack","1","easy","4","6","4","460","18","56","18","8","microwave","vegetarian","",""
"microwave-bean-burrito","Microwave Bean Burrito","Mexican","lunch","1","easy","4","6","4","380","14","50","14","8","microwave","vegetarian","",""
"instant-couscous-chickpea-salad","Instant Couscous Chickpea Salad","Mediterranean","lunch","2","easy","8","7","3","440","14","60","16","8","microwave","vegetarian","",""
"no-cook-tuna-white-bean-salad","No-Cook Tuna White Bean Salad","Italian","lunch","2","easy","5","7","3","380","26","32","14","8","no-kitchen","high-protein;dairy-free","",""
"hummus-snack-plate","Hummus Snack Plate","Mediterranean","snack","2","easy","5","6","3","420","12","56","14","8","no-kitchen","vegetarian","",""
"rice-cake-pb-banana-stack","Rice Cake Peanut Butter Banana Stack","American","snack","1","easy","3","5","3","320","10","44","12","4","no-kitchen","vegetarian","",""
"microwave-egg-fried-rice","Microwave Egg Fried Rice","Asian","lunch","1","easy","5","6","4","380","12","56","10","4","microwave","vegetarian","",""
"microwave-mac-and-peas","Microwave Mac and Peas","American","lunch","1","easy","12","6","4","480","18","64","16","4","microwave","vegetarian","",""
"yogurt-oat-bowl","Yogurt Oat Bowl","American","breakfast","1","easy","3","6","2","360","22","50","8","4","no-kitchen","vegetarian;high-protein","",""
"tortilla-tuna-crunch-wrap","Tortilla Tuna Crunch Wrap","American","lunch","1","easy","5","7","3","480","22","40","24","3","no-kitchen","high-protein","",""
"dorm-ramen-upgrade","Dorm Ramen Upgrade","Asian","lunch","1","easy","7","6","4","480","18","54","22","4","microwave","vegetarian","",""
"canned-chili-baked-potato","Canned Chili Baked Potato","American","dinner","2","easy","12","6","3","560","24","64","22","10","microwave","","",""
"chicken-rice-veggie-meal-prep","Chicken Rice Veggie Meal Prep","American","meal-prep","4","easy","35","8","5","540","38","64","12","4","oven;stovetop","high-protein;dairy-free","",""
"turkey-or-lentil-chili-meal-prep","Turkey or Lentil Chili Meal Prep","American","meal-prep","6","easy","45","8","5","380","26","38","12","10","stovetop","high-protein;dairy-free","",""
"lentil-taco-filling","Lentil Taco Filling","Mexican","meal-prep","4","easy","35","7","4","260","14","44","4","12","stovetop","vegan;dairy-free","",""
"chickpea-curry-meal-prep","Chickpea Curry Meal Prep","Indian","meal-prep","4","easy","30","8","5","480","14","76","14","10","stovetop","vegan;dairy-free","",""
"tofu-peanut-meal-prep-bowls","Tofu Peanut Meal Prep Bowls","Asian","meal-prep","4","easy","25","8","5","560","24","68","22","7","stovetop;microwave","vegan;dairy-free;high-protein","",""
"pasta-bake","Pasta Bake","Italian","meal-prep","4","easy","35","8","5","540","22","82","14","8","oven;stovetop","vegetarian","",""
"freezer-burritos","Freezer Burritos","Mexican","meal-prep","6","easy","30","7","4","460","18","70","12","9","stovetop","vegetarian","",""
"overnight-oats-four-ways","Overnight Oats Four Ways","American","meal-prep","4","easy","10","8","6","380","14","60","10","6","no-kitchen","vegetarian","",""
"egg-muffin-cups","Egg Muffin Cups","American","meal-prep","4","easy","25","7","5","280","22","6","18","1","oven","vegetarian;high-protein;gluten-free","",""
"tuna-pasta-salad","Tuna Pasta Salad","American","meal-prep","4","easy","15","8","4","460","22","56","16","3","stovetop","high-protein","",""
"bean-enchilada-bake","Bean Enchilada Bake","Mexican","meal-prep","4","easy","35","8","4","520","22","68","18","12","oven","vegetarian","",""
"rice-cooker-chicken-congee","Rice Cooker Chicken Congee","Asian","meal-prep","4","easy","70","8","4","320","22","38","8","1","rice-cooker","high-protein;dairy-free","",""
"cabbage-tofu-stir-fry-meal-prep","Cabbage Tofu Stir Fry Meal Prep","Asian","meal-prep","4","easy","25","8","5","460","20","60","14","6","stovetop","vegan;dairy-free;high-protein","",""
"af-teriyaki-chicken-rice-bowl","Air Fryer Teriyaki Chicken Rice Bowl","Japanese-inspired","dinner","2","easy","25","7","5","560","38","62","16","5","air-fryer;microwave","high-protein;dairy-free","",""
"af-tofu-peanut-rice-bowl","Crispy Tofu Peanut Rice Bowl","Asian-fusion","dinner","2","easy","22","7","5","580","24","66","22","7","air-fryer;microwave","vegetarian;vegan;high-protein;dairy-free","",""
"af-crispy-chickpea-rice-bowl","Crispy Chickpea Rice Bowl","Mediterranean","lunch","2","easy","22","9","5","470","19","70","12","10","air-fryer;microwave","vegetarian;high-protein","",""
"af-salmon-rice-bowl","Air Fryer Salmon Rice Bowl","Japanese-inspired","dinner","2","easy","18","7","5","620","32","58","26","7","air-fryer;microwave","high-protein;dairy-free","",""
"af-chicken-thigh-meal-prep","Air Fryer Chicken Thigh Meal Prep","American","meal-prep","4","easy","35","8","5","510","36","52","14","5","air-fryer;microwave","high-protein;dairy-free;gluten-free","",""
"af-sweet-potato-black-bean-bowl","Air Fryer Sweet Potato Black Bean Bowl","Mexican-inspired","dinner","2","easy","22","9","5","520","16","98","8","14","air-fryer;microwave","vegetarian;vegan;dairy-free;gluten-free;high-protein","",""
"af-tofu-curry-bowl","Crispy Tofu Curry Bowl","Thai-inspired","dinner","2","easy","20","7","5","560","22","64","22","8","air-fryer;microwave","vegetarian;vegan;dairy-free;high-protein","",""
"af-broccoli-egg-rice-bowl","Crispy Broccoli & Egg Rice Bowl","Asian-fusion","lunch","1","easy","13","8","5","420","22","42","18","6","air-fryer;microwave","vegetarian;high-protein","",""
"af-turkey-meatball-rice-bowl","Air Fryer Turkey Meatball Rice Bowl","Italian-American","dinner","2","easy","22","8","5","540","36","56","16","3","air-fryer;microwave","high-protein","",""
"af-orange-chicken-rice-bowl","Faux Orange Chicken Rice Bowl","Chinese-American","dinner","2","easy","20","8","5","580","36","78","8","4","air-fryer;microwave","high-protein;dairy-free","",""
"af-frozen-veggie-rice-bowl","Frozen Veggie Crisp Rice Bowl","Pantry","lunch","1","easy","13","7","5","340","9","56","9","6","air-fryer;microwave","vegetarian;vegan;dairy-free","",""
"af-crispy-turkey-spam-rice-bowl","Crispy Deli Turkey Rice Bowl","Korean-fusion","lunch","1","easy","11","7","5","440","28","44","14","2","air-fryer;microwave","high-protein;dairy-free","",""
"af-cabbage-tofu-bowl","Crispy Cabbage & Tofu Bowl","Asian-fusion","dinner","2","easy","20","7","5","460","18","60","16","8","air-fryer;microwave","vegetarian;vegan;dairy-free;high-protein","",""
"af-falafel-chickpea-bowl","Easy Air Fryer Falafel Bowl","Middle Eastern","dinner","2","easy","22","9","5","480","20","76","10","10","air-fryer;microwave","vegetarian;high-protein","",""
"af-buffalo-chicken-rice-bowl","Buffalo Chicken Rice Bowl","American","dinner","2","easy","20","9","5","600","38","66","18","3","air-fryer;microwave","high-protein","",""
"af-bean-cheese-quesadilla","Air Fryer Bean & Cheese Quesadilla","Mexican-American","lunch","1","easy","9","4","4","420","18","50","16","7","air-fryer","vegetarian","",""
"af-breakfast-quesadilla","Air Fryer Breakfast Quesadilla","Tex-Mex","breakfast","1","easy","12","5","4","480","24","36","26","4","air-fryer;microwave","high-protein","",""
"af-tuna-melt-wrap","Crispy Tuna Melt Wrap","American","lunch","1","easy","10","6","5","420","28","28","22","2","air-fryer","high-protein","",""
"af-buffalo-chicken-wrap","Buffalo Chicken Wrap","American","lunch","1","easy","9","6","5","460","32","28","22","2","air-fryer","high-protein","",""
"af-black-bean-tacos","Crispy Black Bean Tacos","Mexican","dinner","2","easy","16","7","5","460","19","64","13","11","air-fryer","vegetarian","",""
"af-potato-tacos","Crispy Potato Tacos","Mexican","dinner","2","easy","20","7","5","480","13","78","14","8","air-fryer;microwave","vegetarian","",""
"af-tofu-tacos","Crispy Tofu Tacos","Mexican-fusion","dinner","2","easy","20","7","5","440","22","56","14","8","air-fryer;microwave","vegetarian;vegan;high-protein;dairy-free","",""
"af-pizza-tortilla","Air Fryer Tortilla Pizza","Italian-American","lunch","1","easy","7","5","4","380","17","30","22","2","air-fryer","","",""
"af-egg-cheese-tortilla-pocket","Egg & Cheese Tortilla Pocket","American","breakfast","1","easy","9","6","4","360","19","22","22","1","air-fryer;microwave","vegetarian;high-protein","",""
"af-crispy-chicken-ranch-wrap","Crispy Chicken Ranch Wrap","American","lunch","1","easy","16","8","4","520","34","38","24","3","air-fryer","high-protein","",""
"af-hummus-veggie-pita","Crispy Hummus Veggie Pita","Mediterranean","lunch","1","easy","9","6","5","380","14","50","16","6","air-fryer","vegetarian","",""
"af-bbq-chickpea-wrap","BBQ Chickpea Wrap","American","lunch","1","easy","18","7","5","480","16","70","16","10","air-fryer","vegetarian","",""
"af-leftover-rice-burrito","Leftover Rice Burrito","Tex-Mex","lunch","1","easy","10","6","5","460","16","70","12","8","air-fryer;microwave","vegetarian","",""
"af-freezer-burrito-crispup","Frozen Burrito Crisp-Up","Tex-Mex","lunch","1","easy","14","4","5","440","16","56","16","7","air-fryer","vegetarian","",""
"af-grilled-cheese-tomato-soup","Air Fryer Grilled Cheese with Tomato Soup","American","lunch","1","easy","10","4","5","540","18","56","26","4","air-fryer;microwave","vegetarian","",""
"af-loaded-baked-potato","Loaded Air Fryer Baked Potato","American","dinner","1","easy","42","8","4","460","16","50","24","6","air-fryer","vegetarian;gluten-free","",""
"af-potato-wedges-yogurt-dip","Crispy Potato Wedges with Yogurt Dip","American","snack","2","easy","22","7","5","280","8","46","7","5","air-fryer","vegetarian;gluten-free","",""
"af-sweet-potato-fries-black-beans","Sweet Potato Fries with Black Beans","Mexican-fusion","dinner","2","easy","22","7","5","420","16","68","9","14","air-fryer;microwave","vegetarian;vegan;dairy-free;gluten-free;high-protein","",""
"af-broccoli-parmesan-bowl","Parmesan Broccoli Bowl","Italian-inspired","lunch","1","easy","13","6","4","180","11","14","11","6","air-fryer","vegetarian;gluten-free","",""
"af-carrot-fries-spicy-mayo","Carrot Fries with Spicy Mayo","American","snack","2","easy","17","6","5","200","2","18","14","5","air-fryer","vegetarian;gluten-free","",""
"af-cabbage-wedges-soy-garlic","Soy Garlic Cabbage Wedges","Asian-fusion","dinner","2","easy","19","6","4","180","4","18","11","6","air-fryer","vegetarian;vegan;dairy-free","",""
"af-zucchini-chips","Crispy Zucchini Chips","Italian-inspired","snack","2","easy","15","6","5","160","7","8","12","2","air-fryer","vegetarian;gluten-free","",""
"af-cauliflower-buffalo-bites","Buffalo Cauliflower Bites","American","snack","2","easy","18","8","5","220","7","24","12","5","air-fryer;microwave","vegetarian","",""
"af-frozen-vegetable-crisp-bowl","Frozen Vegetable Crisp Bowl","Pantry","lunch","1","easy","15","6","4","220","8","24","11","6","air-fryer","vegetarian;gluten-free","",""
"af-corn-potato-hash","Corn & Potato Hash","American","breakfast","2","easy","22","7","5","320","6","56","9","6","air-fryer","vegetarian;vegan;dairy-free;gluten-free","",""
"af-potato-egg-breakfast-hash","Potato & Egg Breakfast Hash","American","breakfast","1","easy","18","7","5","380","14","42","18","4","air-fryer","vegetarian;high-protein","",""
"af-garlic-green-beans","Garlic Air Fryer Green Beans","Italian-inspired","snack","2","easy","10","6","4","130","4","14","7","4","air-fryer","vegetarian;gluten-free","",""
"af-crispy-mushrooms-rice","Crispy Mushrooms over Rice","Asian-fusion","dinner","1","easy","17","8","5","380","10","46","18","4","air-fryer;microwave","vegetarian","",""
"af-chickpea-stuffed-sweet-potato","Chickpea Stuffed Sweet Potato","Mediterranean-fusion","dinner","1","easy","45","8","5","460","17","76","11","12","air-fryer","vegetarian;high-protein;gluten-free","",""
"af-budget-veggie-tray-bake","Budget Veggie Tray Bake","Mediterranean","dinner","2","easy","22","8","4","320","8","42","14","7","air-fryer","vegetarian;gluten-free","",""
"af-crispy-chickpeas","Crispy Air Fryer Chickpeas","Mediterranean","snack","2","easy","20","5","5","230","11","28","9","8","air-fryer","vegetarian;vegan;high-protein;dairy-free;gluten-free","",""
"af-tortilla-chips","Homemade Tortilla Chips","Mexican","snack","2","easy","10","4","5","220","5","32","8","3","air-fryer","vegetarian;vegan;dairy-free","",""
"af-cheese-toast","Air Fryer Cheese Toast","American","snack","1","easy","6","4","4","360","14","30","20","2","air-fryer","vegetarian","",""
"af-pizza-bagel","Pizza Bagel","Italian-American","snack","1","easy","7","5","4","440","19","50","18","3","air-fryer","","",""
"af-ramen-noodle-snack-mix","Crunchy Ramen Noodle Snack Mix","Asian-fusion","snack","2","easy","10","6","5","240","6","28","12","2","air-fryer","vegetarian;vegan;dairy-free","",""
"af-pb-banana-tortilla-bites","Peanut Butter Banana Tortilla Bites","American","snack","1","easy","9","5","5","380","11","56","14","6","air-fryer","vegetarian","",""
"af-cinnamon-apple-chips","Cinnamon Apple Chips","American","snack","2","easy","22","3","5","100","0","26","0","4","air-fryer","vegetarian;vegan;dairy-free;gluten-free","",""
"af-frozen-dumplings-upgrade","Air Fryer Frozen Dumplings","Chinese-American","snack","2","easy","12","6","5","280","10","36","10","2","air-fryer","dairy-free","",""
"af-mozzarella-tortilla-pockets","Mozzarella Tortilla Pockets","Italian-American","snack","2","easy","10","5","4","380","16","36","18","2","air-fryer","vegetarian","",""
"af-garlic-bread-sandwich","Air Fryer Garlic Bread","Italian-American","snack","2","easy","8","5","4","280","6","34","14","2","air-fryer;microwave","vegetarian","",""
"af-crispy-tofu-nuggets","Crispy Tofu Nuggets","American","snack","2","easy","20","7","5","280","16","24","12","3","air-fryer","vegetarian;vegan;high-protein;dairy-free","",""
"af-budget-chicken-nuggets","Budget Chicken Nuggets","American","snack","2","easy","18","7","5","340","30","22","12","1","air-fryer","high-protein","",""
"af-tuna-patties","Air Fryer Tuna Patties","American","snack","2","easy","15","7","5","280","28","14","11","1","air-fryer","high-protein;dairy-free","",""
"af-corn-fritter-bites","Corn Fritter Bites","American","snack","2","easy","17","8","5","280","9","44","7","3","air-fryer","vegetarian","",""
"af-egg-rolls-tortillas","Tortilla Egg Rolls","Chinese-American","snack","2","easy","16","8","5","260","7","38","10","5","air-fryer;microwave","vegetarian;vegan;dairy-free","",""
"af2-baking-powder-wings","Air Fryer Extra-Crispy Baking Powder Wings","American","snack","2","easy","30","8","7","420","34","3","30","0","air-fryer","high-protein;gluten-free;dairy-free","",""
"af2-chicken-katsu-tonkatsu","Air Fryer Chicken Katsu with Tonkatsu Sauce","Japanese","dinner","2","easy","35","12","7","540","42","62","12","3","air-fryer","high-protein;dairy-free","",""
"af2-garlic-parmesan-wings","Air Fryer Garlic Parmesan Wings","American","snack","2","easy","34","10","7","540","38","3","42","0","air-fryer","high-protein;gluten-free","",""
"af2-korean-soy-garlic-wings","Air Fryer Korean Soy Garlic Wings","Korean","snack","2","easy","35","14","7","430","32","24","23","1","air-fryer","high-protein;dairy-free","",""
"af2-gochujang-yangnyeom-wings","Air Fryer Korean Gochujang Wings (Yangnyeom)","Korean","snack","2","easy","30","15","6","470","32","34","22","1","air-fryer","high-protein;dairy-free","",""
"af2-hot-honey-wings","Air Fryer Hot Honey Wings","American","snack","2","easy","25","10","6","430","32","28","22","0","air-fryer","high-protein;gluten-free","",""
"af2-sticky-gochujang-chicken","Air Fryer Sticky Gochujang Chicken","Korean","dinner","2","easy","40","13","7","540","34","52","22","2","air-fryer","high-protein;dairy-free","",""
"af2-salt-and-pepper-tofu","Air Fryer Salt and Pepper Tofu","Chinese","dinner","2","easy","40","10","7","360","20","48","9","3","air-fryer","vegetarian;vegan;dairy-free;high-protein","",""
"af2-crispy-chilli-beef","Air Fryer Crispy Chilli Beef","Chinese","dinner","2","medium","32","19","7","540","38","62","16","3","air-fryer","high-protein;dairy-free","",""
"af2-crispy-sesame-chicken","Air Fryer Crispy Sesame Chicken","Chinese-American","dinner","2","easy","28","15","8","540","38","62","16","2","air-fryer","high-protein;dairy-free","",""
"af2-chinese-eggplant-garlic-chili","Air Fryer Chinese Eggplant with Garlic Chili Sauce","Chinese","dinner","3","easy","25","12","7","320","7","58","8","8","air-fryer","dairy-free","",""
"af2-gochujang-cauliflower-bites","Air Fryer Gochujang Cauliflower Bites","Korean","snack","2","easy","25","14","7","215","6","34","8","5","air-fryer","vegetarian;vegan;dairy-free","",""
"af2-bang-bang-shrimp","Air Fryer Bang Bang Shrimp","Asian-American","snack","2","easy","25","15","6","360","26","32","14","1","air-fryer","high-protein;dairy-free","",""
"af2-bang-bang-salmon-bites","Air Fryer Bang Bang Salmon Bites","Asian-American","dinner","2","easy","15","12","7","410","34","16","24","0","air-fryer","high-protein;dairy-free","",""
"af2-hot-honey-salmon-bites","Air Fryer Hot Honey Salmon Bites","American","dinner","2","easy","15","13","7","470","34","48","15","1","air-fryer","high-protein;gluten-free;dairy-free","",""
"af2-crispy-skin-salmon","Air Fryer Crispy-Skin Salmon","American","dinner","1","easy","20","8","7","360","34","0","24","0","air-fryer","high-protein;gluten-free;dairy-free","",""
